x,y,cluster,term,genes
1.3442171,-0.07952891,Cluster 0,IDH1,PKM IDH3G IDH2 HAAO HPD 
1.9458693,-0.83387494,Cluster 0,CERCAM,ARSA NAGLU FUT11 MAN2B1 SGSH 
1.7701159,0.74162245,Cluster 0,TADA3,TAF5L ZZZ3 TADA2A KAT2B YEATS2 SGF29 SUPT20H CSRP2BP SUPT7L MBIP SUPT3H 
1.5195432,0.17645124,Cluster 0,UBE2V1,FAHD1 QDPR HSD17B14 SORD DYNLRB2 UBE2N 
2.4592125,-0.022633506,Cluster 0,CNOT1,CNOT6L BTG3 FHL2 CNOT11 CNOT10 TOB2 TOB1 CNOT6 CNOT7 CNOT8 CNOT2 CNOT3 RQCD1 TNKS1BP1 
2.2370644,0.7241099,Cluster 0,CARNMT1,MKRN2 SARM1 LENG9 DTL TAB2 MAP3K7 NR3C2 RNF113A CNTLN 
2.2671728,0.82618237,Cluster 0,BRMS1,SAP130 SIN3A BRMS1L SUDS3 ARID4A ARID4B SAP30 
1.5456662,0.2628533,Cluster 0,IFT57,IFT20 IFT88 IFT22 TRAF3IP1 IFT172 HSBP1 IFT80 CLUAP1 
1.3884635,0.9075312,Cluster 0,ZSCAN20,ZNF397 ZNF232 ZBED9 ZNF197 ZNF263 ZNF394 ZNF174 ZNF24 ZSCAN30 ZSCAN21 ZSCAN23 ZSCAN22 SCAND1 ZKSCAN4 ZKSCAN3 ZNF449 ZSCAN29 ZSCAN18 ZNF215 ZNF202 ZNF213 PGBD1 
1.3288773,0.8569023,Cluster 0,ZNF397,ZBED9 ZNF197 ZNF174 ZNF26 ZNF444 
2.1128852,-0.18086864,Cluster 0,WDR26,MKLN1 GID4 RMND5A ZMYND19 GID8 ARMC8 MAEA YPEL5 RANBP10 
4.078978,-0.16450535,Cluster 0,INTS9,INTS12 INTS4 INTS6 INTS5 CPSF3L 
1.8106341,-0.6365226,Cluster 0,VTI1A,GOSR2 STX7 VTI1B STX6 STX10 
2.433679,-0.49326313,Cluster 0,CDK9,HEXIM2 AFF1 CCNT2 CCNT1 MLLT1 MLLT3 AFF4 AFF3 
1.9182649,-0.17115445,Cluster 0,RING1,RNF2 RYBP PCGF5 CBX4 YAF2 
1.1985539,0.35674122,Cluster 0,POMK,BRIP1 PKDCC TMEM120A S1PR2 SLC35F2 
1.6335094,1.5046085,Cluster 0,TAF6L,TAF5L TADA1 SUPT20H SUPT7L SUPT3H 
1.6425581,0.15745544,Cluster 0,SMU1,IK DDX5 DDX17 DDX43 DENR 
2.2135177,-0.096001595,Cluster 0,CTBP1,ZEB1 ZBTB18 TRPS1 RREB1 HIC2 
1.3104042,0.37745267,Cluster 0,COG4,ZW10 COG8 COG7 COG6 XPO7 COG3 COG1 
1.3383548,0.5069389,Cluster 0,COG5,COG8 COG7 COG6 COG4 COG3 COG2 COG1 
1.7820733,-0.47334403,Cluster 0,STX8,GOSR1 STX7 VTI1B STX6 VTI1A STX10 VAMP4 
2.3129675,-0.23097236,Cluster 0,PCGF1,RYBP KDM2B BCL6 YAF2 BCOR BCORL1 ACTL8 
1.3372425,0.43623036,Cluster 0,TSC22D4,TSC22D2 WNK2 WNK3 TSC22D3 TTL NRBP1 
2.4835944,-0.30631772,Cluster 0,MED13,CDK19 MED23 MED14 MED25 MED17 MED12L MED29 
1.7042714,0.74418217,Cluster 0,SIN3B,GATAD1 MORF4L1 PHF12 EMSY KDM5A 
1.8714104,-0.6000146,Cluster 0,TNFSF13B,FAM118A PDSS1 MAP3K15 MAP3K5 MAP3K6 FAM160B1 
1.862459,-0.6728758,Cluster 0,STX12,GOSR1 STX6 VTI1A STX10 OPTN TBC1D17 
2.858859,-0.50730646,Cluster 0,CNOT10,CNOT6L CNOT6 CNOT7 CNOT8 CNOT2 CNOT3 RQCD1 CNOT11 TNKS1BP1 
1.1610448,0.76850015,Cluster 0,TRAPPC3,TRAPPC2L TRAPPC4 TRAPPC1 TRAPPC8 TRAPPC5 TRAPPC11 TRAPPC12 
2.666159,0.08292146,Cluster 0,MED6,MED13 CDK19 MED23 MED14 MED25 MED20 MED17 MED27 MED12L MED29 
1.2461172,-0.30235395,Cluster 0,PSMA5,PSMB8 PSMB3 PSMB1 PSME4 FBXO7 PSMB10 
1.4240328,-0.034238577,Cluster 0,RETSAT,EPHX1 CYP51A1 PDE3B THEM6 SLC27A3 
1.8998569,0.5852553,Cluster 0,CSTF2,PCF11 CSTF3 PAPOLB PAPOLA CSTF2T 
9.713035,1.6770564,Cluster 1,ZBTB11,UPF1 DDX31 GNL3 REXO4 GNL2 LARP7 GTPBP4 NSA2 BOP1 LIN28B DKC1 RPL26 CCDC86 PABPC4 POP1 ZNF512 RPL26L1 HP1BP3 NIP7 ZC3HAV1 ZC3H8 ZBTB24 RPF2 DHX30 LLPH PURA RPL15 GAR1 RPS5 RPL17 RRS1 SF3B2 NOP16 SURF6 KRR1 CCDC137 FTSJ3 GLTSCR2 MOV10 RSL1D1 EBNA1BP2 MYBBP1A GZF1 ZCCHC3 GLYR1 RPS24 RBM28 RRP8 ZNF771 DDX27 ZNF770 WHSC1 DDX24 DDX21 ZNF22 PPAN KRI1 TTF1 LARP1 C7ORF50 NKRF RRP15 BRIX1 RRP12 RPS13 RBM34 
8.999592,1.4827055,Cluster 1,SURF6,UPF1 IMP3 DDX31 GNL3 REXO4 LARP7 GTPBP4 MRTO4 NSA2 DKC1 RPL26 PABPC4 RPL26L1 STAU2 NIP7 ZC3HAV1 RPF2 DHX30 HERC5 LLPH RPL36A PES1 RPS5 RPL17 RRS1 SF3B2 LYAR MYEF2 NOP16 MRPS26 DDX56 CCDC137 PAPD5 MRPS22 RRP1B NOC3L FTSJ3 GLTSCR2 MOV10 EBNA1BP2 MYBBP1A GZF1 RPS24 FYTTD1 RBM28 RRP8 ZNF771 DDX27 ZNF770 WHSC1 MPHOSPH10 DDX24 DDX21 RRP9 LARP1 DHX57 BMS1 BRIX1 
9.675054,1.943605,Cluster 1,ZNF668,RPL13A KNOP1 DDX31 GNL3 REXO4 GNL2 GTPBP4 NSA2 BOP1 DKC1 RPL7L1 CCDC86 POP1 ZNF512 HP1BP3 NVL STAU1 PAK1IP1 ZC3HAV1 ZBTB24 RPF2 DHX30 LLPH PES1 RPL15 RPL17 RRS1 MYEF2 NOP16 SURF6 DDX56 CCDC137 PAPD5 NOC3L DDX50 FTSJ3 GLTSCR2 RSL1D1 EBNA1BP2 MYBBP1A NOL12 GZF1 GLYR1 FYTTD1 RBM28 RRP8 ZNF771 DDX27 WHSC1 DDX24 PPAN KRI1 TTF1 C7ORF50 NKRF RRP15 BRIX1 NIFK RPS13 RBM34 
8.472232,1.3806863,Cluster 1,HERC5,RBM28 ZNF771 DDX27 NOP16 STAU2 IMP3 CCDC137 DDX24 DDX21 FTSJ3 GNL3 GTPBP4 MRTO4 DHX30 LARP1 MYBBP1A RPL36A RPL26 RPS5 LYAR NOP56 
8.055904,1.7058266,Cluster 1,ENSG00000108270,TBL3 ESF1 NOL10 NOC2L WDR36 
8.357814,1.240531,Cluster 1,LLPH,MYEF2 UPF1 NOP16 IMP3 DDX56 CCDC137 PAPD5 MRPS22 FTSJ3 GNL3 REXO4 GLTSCR2 GTPBP4 NSA2 EBNA1BP2 MYBBP1A DKC1 RPL7L1 RPL26 GZF1 ZCCHC3 FYTTD1 RBM28 ZNF771 DDX27 STAU2 MPHOSPH10 DDX24 ZC3HAV1 DDX21 RRP9 RPF2 DHX30 LARP1 HERC5 RPL36A PES1 RPS5 RRS1 
8.496036,2.4832618,Cluster 1,54865,ZCCHC9 STAU2 MPHOSPH10 PAPD5 LARP7 RPF2 DHX30 DKC1 PES1 RPS5 ZCCHC3 LYAR MMTAG2 
9.279041,1.4851643,Cluster 1,KRR1,UPF1 RBM19 GNL3 REXO4 GNL2 LARP7 GTPBP4 MRTO4 NSA2 LIN28B DKC1 RPL26 CCDC86 PABPC4 POP1 ZNF512 RPL26L1 HP1BP3 ZCCHC9 ZC3HAV1 NOC4L PRDM15 ZC3H8 DHX30 SRP72 PURA PES1 RPL15 RPS5 RPL17 RRS1 SF3B2 DDX18 ABT1 ZCRB1 SURF6 DDX56 CCDC137 FTSJ3 GLTSCR2 MOV10 RSL1D1 EBNA1BP2 MYBBP1A TSR1 GZF1 ZCCHC3 GLYR1 NOP56 RPS24 RBM28 LTV1 ZNF771 DDX27 DDX24 DDX21 ZNF22 PPAN KRI1 LARP1 NKRF BRIX1 RRP12 NIFK RPS13 RBM34 
8.336604,1.7734458,Cluster 1,GZF1,RBM28 ZNF771 IMP3 PAPD5 LARP7 RPF2 DHX30 MYBBP1A DKC1 PES1 RPS5 ZCCHC3 LYAR FYTTD1 
8.55113,2.4200706,Cluster 1,MYBBP1A,ZCCHC9 STAU2 IMP4 MPHOSPH10 PAPD5 MINA LARP7 RPF2 DHX30 RPS17 DKC1 PES1 RPS5 LYAR NOP56 FYTTD1 
