x,y,cluster,term,genes,cluster_label
4.354625,4.268096,Cluster 3,HAUS7,C13ORF1 FKRP GSTM1 B3GAT3 GLCE MUL1 HAUS5 KIAA1683 ALG14 HAUS4 GP1BB HAUS6 ALG11 HAUS1 COMTD1 HAUS3 LEMD2 HAUS2 CKAP4 C6ORF141 SCCPDH PNKD ACOX3 CDC16 C3ORF21 DNA2 EPHA1 SLC27A2 TCEAL1 GOLIM4 HAUS8 LIPH VTI1B ARIH1 CCDC99 ,Unresolved
3.9710646,3.972739,Cluster 3,CCHCR1,CETN1 COG6 IQCC SCOC DTNBP1 STX11 KIAA1984 LTBR CCDC53 NDEL1 NEFM EXOC1 SNAP29 MAGEA10 ,Unresolved
3.9721167,3.677708,Cluster 3,TRIM39,ZNF331 ZNF562 ZNF19 ZNF264 ZNF324B ZNF490 ZNF707 ZNF816 ZNF419 ZNF669 ZNF416 ZIM2 ZNF556 ZNF214 ZNF764 ZNF621 ZNF311 ZNF223 ZNF354C ,Unresolved
4.087611,4.1212935,Cluster 3,TRAPPC3,TTC15 BCL2L14 GLB1 TRAPPC1 TRAPPC2 TRAPPC5 TBC1D14 STMN4 CCDC102B KANK4 ,Unresolved
4.3262496,4.4067006,Cluster 3,ALOX12B,DPAGT1 KIR3DS1 AIRE CCDC27 CCDC103 GMCL1 TOX4 DPPA4 GPANK1 NPPA ZIC1 ZSCAN12 FTH1 TBC1D22B CCDC51 ,Unresolved
3.1313818,4.2423315,Cluster 3,POTEF,SUN2 SEC16B WNT5A TNIP1 THEMIS TMCO3 MAPK13 DMC1 AKR1B10 ADA GALK2 FCN1 HLA-DQB2 CATSPER4 CCNJ ASB14 NMD3 CNDP1 ANTXR1 S1PR1 POTEB MAGEA10 POTEC CER1 CD97 ST8SIA1 AHSG BTN2A1 CSNK1E TSHR RPS27 ARFGAP1 MAS1 DUSP22 LMX1B A4GNT C9ORF6 ACTBL2 TRIB2 TKT CELA3A LPGAT1 LPAR4 USH1G HSFY1 SERTAD4 LCN15 UROD TRIM69 HLA-DPA1 GC CACNG3 ATP6V1C2 INSL6 C2ORF60 POC1A ,Unresolved
4.1940236,3.8946712,Cluster 3,URB2,RRP8 CCDC59 NOL8 OPRM1 FGF3 RBM4 MECP2 RPL18A VSIG1 H2AFY2 ZNF512 SCN3B RBM34 ,Unresolved
3.9524653,3.6652255,Cluster 3,GAS6,TMPRSS11B CPA2 GALNT6 NTNG1 RTBDN GML CLEC12A PCDHB16 ADAM32 ATP1B4 LYZL2 CD1B HLA-E TCTN2 PCDHB5 MPPE1 PCDHA3 CLEC2D TMED6 CPA5 ,Unresolved
4.2029686,4.133571,Cluster 3,MTMR4,ZNF684 ATP6V1G3 ZNF263 AURKA CSNK1E MRPL38 WDYHV1 MED18 HOOK3 DNAJC10 ENSA ZNF408 ALOX5 RHPN1 ZNF669 ZNF414 CDO1 ZNF323 ,Unresolved
3.173394,4.2267294,Cluster 3,SERPINB4,ACAD9 GPR18 SERPINB3 ASCC1 RNF25 STARD13 LRRN3 SUSD3 CCNYL1 PDE4DIP FCRL5 IL18 FRMD1 DDX19B DAB2 ZSCAN20 MMRN1 ITGA9 L2HGDH UPRT CDK15 FAM60A ZNF354C UGT1A10 KIR3DS1 ANUBL1 MPI UCP2 PKD2L2 MRPL38 PPM1E CYP3A5 HOXD10 METTL13 CCDC92 NPPA ZIC1 C16ORF70 FTH1 HLA-DPA1 POLL MAPK6 CCDC94 TBC1D22B ,Unresolved
4.0065684,5.319863,Cluster 3,C20orf114,TIMM50 ARHGAP12 HBM TMEM237 SNX27 MLLT1 DDX31 MLLT3 PCK2 ZCCHC17 CDKAL1 ,Unresolved
3.8060603,3.8645382,Cluster 3,ATP13A2,PEX19 RNF170 PCDHGB4 PTH1R MCOLN3 PCDHB11 TMCO3 SLC4A8 CD79B ZNRF4 HLA-DPA1 PCDHA3 HAVCR2 SLC17A2 SCN3B SLC39A4 ,Unresolved
3.8316386,3.605793,Cluster 3,NMU,F7 B3GALNT1 MGAT4C PCDH20 ENTPD7 IL20RB HLA-DPA1 PCDHA4 MANSC1 C6ORF72 ,Unresolved
3.8601964,4.9319572,Cluster 3,CASC3,EIF4A3 APOBEC3D PRDM5 CDX1 CELF5 U2AF2 UPF3A ELAVL2 GSPT2 PNN CLK2 MAGOH NXF1 TRA2A SNIP1 VTI1B LUC7L C11ORF57 WIBG LUC7L2 ,Unresolved
3.1936054,4.2898607,Cluster 3,SLC7A3,RTN1 IPPK SLC2A5 TXNDC15 LPAR1 TMEM5 LPAR6 WDFY2 SDC2 B3GNT1 CLEC2D SLC18A1 SLC17A2 ,Unresolved
3.8791585,4.6604834,Cluster 3,TMEM179B,TM4SF18 FAM189B PTGIR TMEM107 TMX1 GPR21 FAM189A2 LRRC8B SLC39A8 UPK1A ,Unresolved
3.2205203,4.14352,Cluster 3,IGHG2,NARG2 ATF7IP ACD ASCC1 SUSD3 PDE4DIP AKR1A1 DDX31 CIDEA FRMD1 MSL2 DDX19B PLSCR4 ZSCAN20 ALDH3A1 FAM175B GDPD1 KIAA0907 STAMBP RBM24 CDK15 ZNF354C FCF1 CYP3A5 HSD17B10 SNX27 CA8 MAPK6 TBC1D22B ,Unresolved
3.3277113,4.127513,Cluster 3,TGM1,B3GALNT1 MPI AIRE NONO PDE4DIP FCRL5 CCDC103 C21ORF59 SLCO6A1 GMCL1 DDX19B DPPA4 GPANK1 NPPA ZIC1 ZSCAN12 TCTN3 FTH1 PI4KA L2HGDH CDK15 TBC1D22B CCDC51 ,Unresolved
3.3853884,5.082369,Cluster 3,ITFG2,INPP5A C1QTNF2 C7ORF60 SH3PXD2B HSPB9 KIAA0467 BTN2A1 VWCE C10ORF47 KPTN DEPDC5 C12ORF66 ,Unresolved
3.971945,4.31529,Cluster 3,ZBTB33,IL17RA WWOX DEFA5 KLHL22 XAGE1A VWCE PFDN4 TRIML2 ENPP6 ZNF576 ,Unresolved
3.1706738,4.3428464,Cluster 3,PKP2,SLC14A2 GRN PTGER3 TNFRSF19 TACR1 WDYHV1 EFNB2 KBTBD5 FAM188A C12ORF59 LPAR6 PCDHGB1 HAVCR2 LRRC4C ,Unresolved
4.007418,3.9915028,Cluster 3,ZNF396,ZNF174 ZSCAN20 SCAND1 ZKSCAN4 ZNF192 ZKSCAN3 SCAND3 ZNF24 ZSCAN18 ZNF446 ZNF445 PGBD1 ,Unresolved
3.5988352,3.9508383,Cluster 3,SUGP1,DUSP23 ACBD7 YEATS4 FAM177A1 PLK2 CTR9 CTPS2 COMTD1 RNF111 CDK17 ,Unresolved
3.0797842,4.4087667,Cluster 3,KCNIP4,LACRT KCNIP1 SCGB1D1 KCNIP2 PRR4 HLA-DRA KLK4 ECE2 MTX1 TFPI ,Unresolved
3.8169143,4.1059494,Cluster 3,ALG9,GABRA3 GGT7 KCNK16 ATP1B3 TMPRSS12 HTR3C UPK1A HTR3A IL17RC PNLDC1 NCEH1 ACCN4 SCNN1D ZACN MPPE1 CHST6 GRIA3 TMPRSS3 LRRC33 CHRND STS TCTN2 SLC17A2 ENPP6 GABRE TMED6 GPR114 ,Unresolved
3.447141,3.9993212,Cluster 3,ASPHD2,B4GALT3 GALNT6 GYPB GPR77 RNF170 IZUMO1 LYPD3 GXYLT1 LYPD4 ADAM32 ADAM21 GRPR DLK2 CD1B ADAM2 C12ORF49 SPINT2 TMEM206 FAM20B ST3GAL1 ST3GAL2 GPR114 ,Unresolved
2.8617811,5.236657,Cluster 3,PIK3C2A,PICALM CCNJL NCAPH2 QPRT CDC16 CRYL1 STAMBP STAMBPL1 CLINT1 HAVCR2 FAM136A C6ORF141 ,Unresolved
2.8182478,4.9936795,Cluster 3,NPLOC4,ATG9A FADS3 FAM189B KDELR1 KCNC4 KCNK16 PSEN2 SLC17A2 ALG10B CYP19A1 TRIM13 ,Unresolved
3.7079883,5.303561,Cluster 3,PPP2R1B,FOXD4 ZNF331 TBCCD1 ZNF550 TRAF3IP3 WNT3A CDCA4 FAM43A PPP2R3A PTPDC1 PPP2CB SERTAD4 FOXS1 SGOL2 PPP2R2D PPP2R2C FAM19A3 ZNF219 IER2 NCAPD3 ZNF114 ZNF785 PRR14 TRIM35 ,Unresolved
3.8367667,3.9372015,Cluster 3,SAMD1,L3MBTL3 LRP1 PRMT2 PCDHGB4 KLHL2 CBWD1 PCDHB11 CCDC102B TOR1AIP2 VWA5A PCDHA10 C6ORF141 ANTXR1 ZNRF4 BSG DPPA4 CDC16 HLA-DPA1 DYNC1I1 IL13RA2 SKP2 ,Unresolved
3.2563887,4.249862,Cluster 3,TCEB1,KLHDC3 RAB40A RAB40B CUL5 ASB9 KLHDC2 VHL ASB6 ASB3 RAB40AL SOCS6 ,Unresolved
2.7114902,5.114032,Cluster 3,HBB,GK GRID1 HSPA8 SLC2A14 UPF3A JOSD2 DHRS2 FRMD1 MSL2 BMP5 PSMC5 COPS3 MGAT4B GDPD1 SEMG2 MDM4 PLXNB1 PNPLA1 HIST1H2BJ PNKP LPAR2 C20ORF7 GSTT1 TMEM92 APCDD1 DACH1 KIAA1467 AGA CYTIP PGPEP1 MAPK6 ,Unresolved
3.4310937,5.3155527,Cluster 3,CRAMP1L,GON4L NPAT HIST1H2BA AKAP11 PPP4R2 SMEK2 SMEK1 H2AFX SS18L2 MAGEE1 ARIH1 USP20 ,Unresolved
3.0053287,4.2196484,Cluster 3,IGHG1,UGT1A10 ASCC1 SUSD3 PDE4DIP DDX31 CYP3A5 HSD17B10 DDX19B ZSCAN20 ALDH2 TFG ALDH3A1 SNX27 FAM175B GDPD1 CA8 CDK15 TBC1D22B ZNF354C ,Unresolved
3.246689,4.1235595,Cluster 3,LINGO1,LRFN4 LINGO2 NGLY1 PON2 HIST2H2AC PSMG2 LMAN2L SLC5A11 LRRC33 PCDHB11 C4ORF32 C1ORF65 ,Unresolved
3.8906226,3.620639,Cluster 3,DNAJB5,APOBEC3D TPTE2 TKTL1 FBXW11 TRIM16L KCNC4 NPAS1 KLHL10 DNAJB1 P2RX6 HERC2 P4HA2 TFDP3 BAG4 DNAJB4 MANSC1 TBC1D22A ASB4 ARHGEF10 TECPR2 ,Unresolved
3.5080519,4.6528015,Cluster 3,TUBGCP4,FBXW11 LGALS3BP PRICKLE3 FPR2 TXNDC12 OPRM1 TUBG2 MZT1 TOR1AIP2 MZT2B VSIG1 APLNR TUBGCP5 PDCD1 BTRC ,Unresolved
2.7459886,4.942872,Cluster 3,RIPK4,CD79B SPATA5L1 AVIL HIF1AN BBS7 THBS3 HAVCR2 ENPP6 AGT VWA5A ,Unresolved
3.4943557,4.4721785,Cluster 3,SNX14,IPPK TEX264 PCDHGA5 PTGIR PMEL C3AR1 CHRNA9 MCOLN3 SLC4A8 ZNRF4 C19ORF75 FSHR CNGA3 SLC17A2 TLR5 TSPAN2 ,Unresolved
4.0473285,4.0766706,Cluster 3,TRAPPC6B,TTC15 BCL2L14 GLB1 TRAPPC1 TRAPPC2 TRAPPC5 TBC1D14 STMN4 KCTD3 CCDC102B ,Unresolved
4.101507,3.861403,Cluster 3,EPHB4,ADPGK PCDHGA5 MME LRRIQ1 ST8SIA4 TMPRSS3 LRRC33 PCDHA12 IL17RC HLA-E EFNB2 P2RX2 SCGB2A2 TCTN2 HLA-DRA MANSC1 GABRE MRAP2 KLRG2 PCDHAC2 ,Unresolved
3.4471548,4.2435884,Cluster 3,SELENBP1,ARL11 B3GALNT1 OFCC1 SETDB2 DOLPP1 SYT16 GDF5 RAB11B CAMKMT FOXP2 MAS1 HOOK1 IL31RA FBXL4 FLYWCH2 MMACHC NSMAF FAM60A SMARCD1 HEATR1 CPLX3 OAZ3 RASGRP4 SGOL2 GPBP1 TFG KIF3A TBC1D14 RAB11FIP4 C13ORF31 ,Unresolved
3.823397,3.7210903,Cluster 3,CALML3,OR51E2 GPR18 CD72 SUSD3 PDE4DIP TNFRSF19 PYHIN1 C1ORF49 GDF5 FRMD1 RAB11B COASY DDX19B POC5 ELMO1 IL31RA SEMG2 PI4KA KIAA0907 FBXL4 RBM24 CCDC82 CDK15 SF3A1 FAM60A ZNF354C KIR3DS1 FCF1 GMCL1 RSPH10B2 C19ORF54 ZSCAN12 C16ORF70 FTH1 C17ORF105 CCDC94 ,Unresolved
3.4724495,3.9852993,Cluster 3,TRIM41,FARP2 ZNF562 ZNF264 ZNF263 GGPS1 ANKHD1-EIF4EBP3 DICER1 KIAA0232 PASK TARBP2 ANKHD1 PRKCZ HIST1H2BA ERBB2IP PSMG4 GLCCI1 APBA2 ZNF574 GFM2 ZNF550 ANKRD17 DCAF16 ZNF408 PIP5K1A ZNF669 DMD ZNF764 ZNF169 ZNF785 ZNF223 ,Unresolved
3.9995317,4.6169496,Cluster 3,C8orf47,TIGD5 TMEM185A FMO5 DUSP23 RPS27 ISG20 FADS3 DUSP22 TMEM206 GJB7 MED21 HOXB5 PCDHGC3 VDAC3 SLC25A41 KIFAP3 CD69 IDO2 FYTTD1 ,Unresolved
3.302466,4.629938,Cluster 3,WASF1,TIMM50 NHSL2 UBXN11 ABI2 CCDC53 CBLC AMZ1 CGB2 ZNF511 ATP6V1C2 NCK2 ,Unresolved
3.7267275,4.1932335,Cluster 3,CSGALNACT2,CSGALNACT1 SUN2 SLC35A5 SUN1 IQCB1 B3GAT3 PRAF2 TMEM85 NDUFC2 C10ORF58 PNLDC1 TMX4 TMEM214 CCDC8 TRIM59 MPPE1 C19ORF46 POGLUT1 NDUFB9 IPPK ATF1 NDUFB3 FUT1 MANEA UGT8 EXTL2 FUT8 STX5 CLASP2 ST3GAL4 UTP15 FKRP SLC30A6 SLC30A5 KIAA2013 MANEAL SLC30A1 SULF2 TMEM111 MCOLN1 TPST2 LMBRD1 CREB1 P2RX4 MGAT4C LRRC57 ADPGK GOSR1 GOSR2 TMTC4 C6ORF72 GOLIM4 LPAR1 PLB1 NADSYN1 SLC8A3 TCTN2 CHSY1 ,Unresolved
3.7300532,4.1186833,Cluster 3,DIP2A,EFNB2 SSSCA1 PTGER3 IL20RA LPCAT1 C1ORF186 MANSC1 SELE THBS3 HAVCR2 TPCN2 ,Unresolved
3.8964152,4.2544994,Cluster 3,FZD2,TMPRSS11B NRN1 PTGIR LAMP1 GPR21 FAM189A2 MPPE1 TMPRSS12 LYPD6 UPK1A GPR114 ,Unresolved
3.8197708,3.6860454,Cluster 3,LRP4,ZNF398 ZNF563 ZNF331 ZNF187 TYW3 LRPAP1 GDF10 FCGRT ZBBX ZFP41 ZNF816 ZNF408 ZNF669 SOST ZNF556 ZNF214 ZNF621 ZNF224 BEND7 ZNF354C ,Unresolved
3.083949,4.912322,Cluster 3,KIDINS220,FAF2 MAGEE1 DKKL1 CGRRF1 TNFRSF1A CD79B CDH5 CLMP VSIG1 CEACAM21 VSIG4 MANSC1 B3GNT1 MRAP2 C21ORF63 XPR1 FGFR2 ,Unresolved
2.8913913,5.2122307,Cluster 3,MAD2L2,GYPB IFNGR1 FAM78B SPACA1 PMEL HLA-C HEPACAM2 GRPR ICAM2 LRFN4 CHST12 TFR2 FAM174A LAMP3 TSPYL6 ,Unresolved
3.6620808,4.4189844,Cluster 3,PTPN1,TMEM63A GPR77 C3AR1 SLC39A12 GPR21 TMPRSS3 GHITM SLCO6A1 KIAA1467 TCTN2 APLNR AMTN ENPP6 MRAP2 GPR114 SLC39A4 ,Unresolved
3.8229113,4.032163,Cluster 3,ADCY3,SLC4A8 CD79B LGALS3 PCDHGA5 ACCN4 IZUMO1 CNGA3 KCNA5 SLC17A2 IL17RC ANKMY2 ,Unresolved
3.191452,4.1548996,Cluster 3,NOTCH3,ABCG8 IFNGR1 LRRIQ1 ADAM33 SLC20A1 ADAM32 DEFA1 RABGGTB DLK2 RBPJ ZFP41 DNAJC10 ZNF408 NEU2 ANKRD44 TSPAN3 HIF1AN MANSC1 ZNF224 ,Unresolved
4.250977,4.157948,Cluster 3,MED23,MED1 CDK19 CDK8 NR1I3 MED21 CCNC SCN3B MED19 MED7 MED18 ,Unresolved
3.2457156,4.974026,Cluster 3,HMOX1,LRRC27 CD97 TEX264 GPR77 HLA-C ADAM33 DDX19B UGT8 CDC20B STIM2 SRPRB SLC39A8 CDK15 TBC1D22B PCDHAC2 ,Unresolved
4.005723,3.8077426,Cluster 3,MMAB,FDPS SERPINB2 OXNAD1 TEKT2 ECHDC2 C17ORF90 NUDT6 MRRF CDK5R1 TRMT61B ,Unresolved
3.3506877,4.513013,Cluster 3,KIAA0368,CHRM4 SLC10A7 NPY2R SPACA1 C5ORF28 HTR2C LYPD3 OPRM1 SLC2A5 TMEM199 EDNRB MAS1 RP2 BSG APLNR SLC39A9 SLC18A1 IL13RA2 ,Unresolved
4.294872,4.0704594,Cluster 3,SPATA5L1,RIPK4 HSPA8 DKKL1 FMN2 IFT81 SPATA5 MTR MRPL4 FAS C1ORF109 TMEM25 CINP HSPA1A ,Unresolved
4.245641,4.3057055,Cluster 3,MTHFR,DCLRE1C TIGD6 ZNF263 HSD3B2 CDCA8 PCDHB16 GNAI1 GDF10 RASSF1 TMEM223 KCNV2 BCL2L11 SMPD2 PRPF31 NOX5 SPATA19 ZNF556 EPHA1 GNAZ ,Unresolved
3.460894,4.15775,Cluster 3,ATXN2,APOBEC3D DDX6 RBFOX2 CELA2B NUFIP2 FAM98A FGL1 CELF5 CARD8 CCNDBP1 ELAVL2 NXF2 P4HA2 ESRP1 LPXN CLASRP NME2P1 ASB3 BCAT1 ,Unresolved
3.6271653,4.648588,Cluster 3,HNRNPF,ZCCHC8 DPP9 PECR ACOX1 ANGEL2 OBFC1 AMMECR1 HSD17B8 SUPT5H CDKN2AIP RBM7 SUPV3L1 ,Unresolved
3.9317625,3.7259934,Cluster 3,KCNJ8,CDH5 P2RX4 TCTN2 GPR21 ADAM33 CD1E MCOLN3 PLXDC2 TMED6 CD1B NAALADL2 HLA-DQA1 ,Unresolved
3.5139735,4.984773,Cluster 3,MAP2K2,SERPINB2 HSP90AB4P HSP90AB3P MAP2K1 HSPA8 CD70 CCRN4L BRAF HSP90AA5P HSP90AA4P TUBA4A ,Unresolved
4.248725,4.2903075,Cluster 3,PMVK,MBD5 FGB SETD3 C4ORF26 GTF2E2 NKD2 SCNM1 RDH12 NPPA ARL6IP6 FSD1 SNRNP27 SLC25A32 SLC25A35 FYTTD1 ,Unresolved
2.916462,4.9338717,Cluster 3,GRAMD1A,ACVR1 TMEM30A GRAMD1B CHRNA3 PCDHGB4 PCDHB16 CHRNA9 KCNK16 HTR3C TEX28 MCOLN3 HTR3A GRAMD3 CD79B ZNRF4 VNN2 TMX1 PCDHB7 ZACN GABRE GPR114 ,Unresolved
3.568854,4.3474417,Cluster 3,ZNF318,IL17RA APOBEC3D NCAPH2 CCBL1 SIRT6 CELA1 C6ORF141 FAM160B2 PRPF39 P4HA3 BAG4 AP1G2 CDC16 CPNE2 CORO6 ASB3 ,Unresolved
4.1412845,5.170794,Cluster 3,ZNF689,RRP8 PRR11 ZNF324B CNBP ZBTB38 MKI67IP FGF3 RPL7 RPF1 RPL18A ZNF707 DGCR8 NOL12 ZNF169 ,Unresolved
3.2937744,4.2433934,Cluster 3,ASB7,PDRG1 CCDC136 PIH1D1 WDR75 SEPT1 ADAM33 HAUS1 POLR3A RABEP2 POLR1A OGN TRIP11 MAD1L1 AGRP C8ORF34 COLEC11 CUL5 ZFAND2B RPAP3 MLL NPAT UXT HMBOX1 SALL2 KIF13A WDR92 KIF13B HIF1AN CEP170 C19ORF2 ANKRD13A ,Unresolved
3.5890553,4.662641,Cluster 3,GJC1,EXTL2 SLC22A16 PTGIR SLC39A12 ZACN UPK1A SLC18A1 HTR3A GRPR GPR114 ,Unresolved
3.9918675,3.7481768,Cluster 3,PGBD1,ZNF397 ZNF232 ZNF396 ZNF174 MYCBP2 ZNF192 ZNF24 PGBD2 ZSCAN20 SCAND1 ZKSCAN4 ZKSCAN3 ZSCAN18 ZNF446 ZSCAN1 ZNF434 ZNF213 ZKSCAN1 ZNF498 ,Unresolved
3.237255,4.1428714,Cluster 3,PPP2R3A,ZNF580 ZFC3H1 LPP PPP2R1A WTIP LIMD1 PPP2CA SFRP4 PPP2R1B TROAP CEP170 GTSE1 ZNF785 CDK17 ,Unresolved
3.981511,4.012364,Cluster 3,POMT2,RFTN2 PON2 PCDHB16 LRRC4 VWCE UPK1A HTR3A TMEM92 CHRND ACCN4 TCTN2 HLA-DRA MPPE1 TMED6 FDFT1 CD244 ,Unresolved
3.186319,4.187812,Cluster 3,LRP2,EGFL6 ZNF264 ZBTB48 SYT1 CCDC59 MEPE AMBN ARHGAP19 FGFRL1 LRPAP1 DLK2 CTGF ZFP41 ZNF408 PDGFD FAM19A3 SOST MANSC1 RIBC2 ZSCAN29 VIP INSL6 ZNF224 FAM19A4 ,Unresolved
3.0453494,5.0236206,Cluster 3,IGSF8,DNAH14 DAGLB TMEM30B RFX3 DNAJC14 GDPD5 HBA2 TBRG4 EFNB3 OCLN MBLAC2 TMX4 MMRN1 CD9 TMX1 CD19 ,Unresolved
2.94028,4.582288,Cluster 3,SLC10A7,CD79A ATP6V0D1 DPY19L4 MME KIAA0368 PCDHA4 EIF2B2 ISLR TOR1AIP2 IQCF1 APOB ,Unresolved
3.8957691,3.8427703,Cluster 3,HDGFRP3,SENP8 CDKL5 RNF13 ZNF280A TMEM128 GPANK1 SLC30A6 MTERFD3 BAZ2B ZNF23 CDK17 BSCL2 ,Unresolved
3.0530684,4.1822324,Cluster 3,CISD2,TMEM63A IL1R2 HLA-C CHRNA9 NRG1 TMPRSS3 PVR KIR3DL2 KIAA1161 IL17RB CHRND PCDHAC1 STS LRRTM1 STIM2 LTBR ACCN4 TMEM206 PCDHB7 HMOX2 PCDHA4 SLC39A4 ,Unresolved
4.063927,5.046393,Cluster 3,APOL2,CHRND PSG9 CHRNA3 UBB ERAP1 BPNT1 APBB2 HTR3A GBP5 SOD1 ,Unresolved
3.786357,5.0672536,Cluster 3,WASF2,HOMER3 CCDC27 CBLC BAIAP2 TIMM50 NHSL2 LHX4 GJB7 ABI2 CCDC53 EVL AMZ1 ZNF511 NCK2 ,Unresolved
4.082632,4.711804,Cluster 3,KIF1A,DOCK5 CETN1 DQX1 KIAA1279 PSMC3 FAM19A3 AARSD1 LYPD4 PDDC1 KIF1B RNF166 TRIM35 ,Unresolved
3.1981175,4.474893,Cluster 3,C19orf6,SCGB1D2 YIPF3 TNFRSF19 B3GALT2 ST3GAL5 TMUB2 GPR21 RNF185 TMCO3 TMEM199 ,Unresolved
3.9488688,4.832503,Cluster 3,ZNF445,APP ZNF232 ZNF396 ZNF483 ZNF263 ZNF324B SETDB2 NXF2 ZNF71 ZNF707 ZSCAN20 SYT12 NDEL1 CCDC6 TRIM28 CACNG5 ZNF169 ,Unresolved
4.2686973,4.1244407,Cluster 3,TNFRSF17,FAM171A1 PARK2 CD70 OPA3 TSPAN6 INTS7 AGPAT1 TARBP1 ZMPSTE24 FAM105A ,Unresolved
3.7897563,4.303811,Cluster 3,SCFD2,ZW10 NBAS STX18 RINT1 C19ORF25 BNIP1 SEC22B SIRT2 NAPG STX12 USE1 VAMP4 ,Unresolved
3.842233,4.8987064,Cluster 3,SRC,ACBD7 IFNGR1 GLRX3 FMO5 C1QL4 COX6B1 RPS27 ISG20 NFKBIA IL1F5 PDIK1L CYP2S1 MED21 HOXB5 VDAC3 SLC29A1 FYTTD1 TMEM185A PRDM1 TNFAIP3 PRUNE2 TMEM220 DHX57 S1PR2 FSD1 PCDHGC3 CEACAM21 S1PR1 SLC25A41 KIFAP3 FYN CCNL2 NCSTN ALOXE3 ,Unresolved
4.23765,4.2940745,Cluster 3,NKTR,ZRSR2 WSB2 ZNF263 PNN CLK2 ZNF707 ZNF816 ZC3H18 SNIP1 LUC7L C11ORF57 ZNF786 LLGL2 RPS14 ZNF311 ,Unresolved
3.910621,4.3187084,Cluster 3,TROAP,CCNJL CELA3A PPP2R3A SIRT6 LYPD4 SUOX DCAF7 C6ORF141 FNTB CDC16 ASB3 LZTS2 BANP MAPRE1 ,Unresolved
3.667196,3.9863875,Cluster 3,GLRB,GABRA3 TMPRSS11B TMEM194A GRIA3 NRN1 CHRNA3 ACCN4 TCTN2 CLEC2D BTNL8 ,Unresolved
4.093498,4.580335,Cluster 3,HOOK1,NCAPH2 AKTIP LRRC29 AARSD1 RABGGTB TNFSF13B SELENBP1 C6ORF141 HERC2 HOOK3 CDC16 CRYL1 ALOXE3 ,Unresolved
3.9301105,4.5795794,Cluster 3,DHPS,SPHK1 TIRAP KCNAB3 LRRC6 C10ORF47 RPL9 ARHGAP15 BYSL C10ORF93 SFPQ SPATA24 SAFB2 FAM19A3 SUSD4 ZNF414 CDK17 ,Unresolved
4.242499,4.13946,Cluster 3,CTR9,MYLIP NCAPH2 LYZL1 LYPD4 TULP2 CDC73 ZC3H18 HIST1H1E YAF2 TCEANC2 SUGP1 APBA3 MBIP ,Unresolved
3.3331802,5.0485535,Cluster 3,C17orf75,GPRC5C FGF8 DLC1 FAS AIFM1 DKKL1 CLEC2D SLC18A1 WDR11 FAM91A1 C1ORF85 ,Unresolved
2.988778,5.043913,Cluster 3,CEP55,TTC15 GRAMD1B CALCOCO2 FAM167A KIAA1984 CTAGE5 TSC22D3 C17ORF59 CCDC6 BSPRY SYNC ,Unresolved
3.5921254,5.325435,Cluster 3,TSC22D3,CDC42SE2 ENDOV UBE2CBP TSC22D2 TSC22D1 TSC22D4 KIAA1683 SIRT6 RCCD1 CEP55 FAM117B NRBP1 ,Unresolved
3.8340483,3.7862275,Cluster 3,LRRC49,PCM1 KIAA1841 C19ORF20 SPATA1 NICN1 TTLL1 C18ORF10 C11ORF49 C17ORF71 EIF3F TBC1D19 ,Unresolved
3.6551578,4.008884,Cluster 3,LTBP1,BCHE PCDHGA5 PCDH12 DEFA5 MMP3 PCDHGB4 PCDH20 C4ORF26 VWCE C6ORF72 PCDHA12 PCDHB11 LOXL3 MMP10 EFEMP1 CDH5 KBTBD7 ZFP41 ZNF408 HLA-DPA1 CSN1S1 PCDHA4 KLRG2 ,Unresolved
4.174555,4.610151,Cluster 3,MED13,MED1 CDK19 CDK8 TCL1B NR1I3 MED21 CCNC MED19 MED7 MED18 ,Unresolved
2.6150806,4.028713,Cluster 3,BIRC6,FAM58A FIGF CHIA DIABLO OSBPL2 AKAP9 MGST3 MOS FERMT2 INTS4L2 ADAMTS4 HERC2 PSMC5 C3ORF20 ANGPTL3 CCDC22 DCAF12 AGRP UGGT2 ,Unresolved
4.1814203,5.230301,Cluster 3,CTU2,THUMPD3 C10ORF47 KLHL20 SLC5A5 VAPB APEX2 ZMAT5 FAS FAM174A FAM19A3 CEP72 POLM PFDN4 TINAG CCDC120 MYCL1 RGS20 RAB8B C11ORF48 ,Unresolved
3.5343456,3.9287314,Cluster 3,TRIM29,SUSD3 CCNYL1 FCF1 CPLX3 OAZ3 DDX19B ZSCAN20 ZMAT4 KIF3A IL31RA KIAA0907 FBXL4 RBM24 CCDC82 CDK15 TBC1D22B ,Unresolved
3.9585874,4.99504,Cluster 3,PPIG,JMJD6 PNN CLK3 MDK TRA2A SARNP EPB41L2 ZC3H18 PIP4K2A SNIP1 LUC7L RPL14 C11ORF57 ,Unresolved
3.8391607,4.98402,Cluster 3,POTEE,CCR2 ZNF684 WDR1 GPR35 PMM1 TGDS DEFA6 PRG2 HMGB1 TMEM186 CST7 IL27RA PDGFD CINP HMOX2 CHST14 EXOC1 ACP1 LRRCC1 CPA5 ,Unresolved
4.0327435,4.043687,Cluster 3,DCUN1D5,TMEM213 PNKD TMEM206 CD70 FAM177A1 ORMDL1 LYPD3 GNAI3 RNF111 MAPK14 ,Unresolved
